Genero;Ocupación;Plan_Internacional;Min_En_Dia;Min_Internacionales;Reclamos;Llamadas_Internacionales;Desafiliado
Femenino;Educación;no;191.5;0;0;0;no
Femenino;Negocios;no;291.1;7.5;1;2;no
Masculino;Proyectos personales;no;215.6;11.8;3;1;no
Masculino;Proyectos personales;si;208.8;12.4;3;6;no
Femenino;Educación;no;255.9;12.3;3;5;no
Masculino;Otros;no;252.7;12.4;2;4;no
Femenino;Negocios;no;132.1;6.9;3;6;no
Masculino;Educación;no;217;8.2;1;4;no
Masculino;Otros;no;101.9;12.9;0;2;no
Masculino;Otros;no;211.5;13.3;2;4;no
Femenino;Educación;no;153.4;10.4;0;3;no
Femenino;Otros;no;166.3;10;2;3;no
Masculino;Educación;no;185.2;9.5;1;13;no
Masculino;Educación;no;104.6;6.5;2;8;no
Femenino;Negocios;no;245.2;7.2;0;8;no
Masculino;Otros;no;274.4;6;1;3;no
Femenino;Otros;no;98.4;14.2;1;4;no
Masculino;Educación;no;279.9;13;1;2;no
Masculino;Educación;no;187.2;5.1;1;4;no
Femenino;Educación;no;276.2;2.2;3;4;no
Masculino;Proyectos personales;no;200.4;8.3;1;4;no
Femenino;Negocios;no;162.3;9.1;2;4;no
Masculino;Proyectos personales;no;176.9;10.5;4;2;si
Femenino;Proyectos personales;no;165.5;12.2;0;6;no
Femenino;Otros;no;217.8;10.4;4;5;no
Masculino;Proyectos personales;no;201.4;12.9;2;4;si
Femenino;Otros;no;190.5;10.1;3;5;no
Femenino;Educación;no;179.9;12.8;3;7;no
Femenino;Educación;no;235.9;5.8;3;2;no
Femenino;Otros;no;140.4;7.9;0;1;no
Masculino;Negocios;no;144.6;7.4;2;9;no
Femenino;Negocios;no;189;17.1;0;6;no
Masculino;Otros;no;101;13.3;0;2;no
Masculino;Otros;no;206.3;10.6;1;4;no
Masculino;Otros;no;165.1;10.9;1;4;no
Masculino;Otros;no;165;12.5;1;7;si
Femenino;Proyectos personales;no;155.9;11.7;3;3;no
Femenino;Educación;si;199.2;11.8;1;7;no
Masculino;Otros;no;155.3;12.3;3;4;no
Femenino;Otros;no;208.3;11.3;3;5;no
Femenino;Negocios;no;157.1;12.1;1;6;no
Masculino;Otros;no;154.4;11.7;5;4;si
Masculino;Otros;no;189.1;10.4;1;5;si
Femenino;Educación;no;131.5;10;2;3;no
Masculino;Proyectos personales;no;166.4;9.9;1;5;no
Femenino;Educación;no;142.3;12.8;2;9;no
Femenino;Proyectos personales;no;87.7;7.3;2;4;no
Masculino;Negocios;no;184.1;16.9;0;3;no
Femenino;Educación;si;174.5;12.3;2;10;no
Masculino;Proyectos personales;no;103.3;9;2;2;no
Masculino;Otros;no;35.1;12.7;1;2;no
Masculino;Educación;no;246.6;13;1;5;no
Femenino;Negocios;no;78.5;11.8;1;4;no
Masculino;Proyectos personales;no;148.1;12.3;5;2;si
Femenino;Educación;no;206.2;9;1;3;no
Masculino;Proyectos personales;no;251.6;12.2;2;3;no
Femenino;Educación;si;270.3;14.4;1;7;si
Femenino;Otros;no;156.6;11.3;1;1;no
Femenino;Proyectos personales;no;139.4;13.6;1;6;no
Femenino;Educación;no;220.2;11.7;2;3;no
Femenino;Otros;no;214.1;10.1;1;3;no
Masculino;Proyectos personales;no;196;7.9;1;6;no
Masculino;Otros;no;106.4;5.3;6;4;si
Femenino;Proyectos personales;no;179.4;10;0;5;no
Masculino;Proyectos personales;no;216.7;10.8;2;1;no
Femenino;Otros;no;177.3;5.1;0;2;no
Masculino;Proyectos personales;no;151.6;4;1;5;no
Masculino;Negocios;no;262.2;10.6;0;5;no
Masculino;Educación;no;173.6;9.7;3;7;no
Femenino;Educación;si;106.6;9.6;2;8;no
Femenino;Otros;no;193.3;11.6;5;4;si
Femenino;Proyectos personales;no;217.2;11.3;0;4;no
Femenino;Educación;no;209.5;8.8;1;4;no
Femenino;Proyectos personales;no;95.4;5.6;1;5;no
Masculino;Educación;no;214.6;8.1;1;2;no
Masculino;Proyectos personales;no;131.6;11.1;4;4;si
Masculino;Negocios;no;168.4;11.8;1;7;no
Masculino;Negocios;no;146.4;7.8;1;5;no
Masculino;Otros;si;183;11.1;1;6;no
Masculino;Educación;no;103.3;6.4;0;7;no
Masculino;Negocios;no;112.2;10.6;0;2;no
Femenino;Negocios;si;170.7;8.2;3;9;no
Masculino;Educación;no;172.5;10.9;0;2;no
Masculino;Negocios;no;194.3;7.1;1;5;no
Masculino;Educación;no;187.8;12;2;3;no
Masculino;Educación;si;307.1;8;0;3;no
Masculino;Negocios;no;118.2;12.2;3;3;no
Masculino;Otros;no;154;12.9;1;1;no
Femenino;Proyectos personales;no;155.5;7.6;1;11;no
Femenino;Otros;si;125.6;5.4;1;5;no
Masculino;Otros;no;199.3;15.2;0;2;no
Femenino;Otros;no;157.9;12.8;1;3;no
Femenino;Otros;no;203.4;9.2;2;5;no
Femenino;Proyectos personales;no;222.2;10.9;1;5;no
Masculino;Otros;no;92.8;5.8;1;7;no
Masculino;Negocios;no;216.8;8.6;0;2;no
Femenino;Negocios;no;193.2;9.7;4;2;no
Femenino;Proyectos personales;no;113.2;14.1;3;4;no
Femenino;Otros;no;166.2;11.2;3;2;no
Masculino;Educación;no;262.2;7.3;1;14;no
Femenino;Proyectos personales;no;207.8;13.1;0;4;no
Femenino;Otros;no;245.4;7.5;1;6;no
Masculino;Otros;no;287.1;14.4;3;2;si
Femenino;Negocios;no;192.3;9;2;1;no
Masculino;Negocios;no;194.2;9.7;2;3;no
Masculino;Educación;no;211;9.8;3;7;no
Femenino;Otros;no;141.9;8.7;0;5;no
Femenino;Otros;no;220.5;5.9;2;9;no
Masculino;Otros;no;157.4;9.3;1;2;no
Masculino;Negocios;no;143.5;11.2;0;5;no
Femenino;Otros;no;156;8.9;0;8;no
Femenino;Educación;si;160.1;9.2;2;3;no
Masculino;Proyectos personales;si;235.1;7.2;4;2;si
Masculino;Educación;si;160;8.7;5;5;si
Femenino;Otros;no;188.4;13.2;1;2;no
Masculino;Negocios;no;194.8;11;1;3;no
Masculino;Educación;no;247.8;6.9;1;2;no
Femenino;Negocios;no;221.2;11.9;4;3;no
Masculino;Proyectos personales;no;118.5;13.4;2;3;no
Masculino;Negocios;no;231.8;7.6;1;4;no
Masculino;Proyectos personales;no;215.9;11.6;1;4;no
Masculino;Otros;no;217.1;8;2;5;no
Femenino;Negocios;no;83.5;12.6;0;3;no
Femenino;Proyectos personales;no;183.3;5.1;1;7;no
Masculino;Otros;si;236.8;9.5;1;2;si
Femenino;Negocios;no;193.8;8.5;1;3;no
Masculino;Negocios;no;134;9.7;0;4;no
Masculino;Negocios;no;176.6;11.3;2;5;no
Femenino;Otros;no;191.4;10.2;3;3;no
Masculino;Educación;si;174.8;12.8;0;3;no
Femenino;Educación;no;275.2;7.9;1;2;no
Masculino;Negocios;no;174;7.9;1;1;no
Femenino;Otros;no;165;12.6;1;8;no
Femenino;Proyectos personales;no;228.7;11.8;1;4;no
Femenino;Otros;no;107.9;9.5;2;3;no
Masculino;Educación;no;221.3;11.3;1;6;no
Masculino;Negocios;no;141.1;5.9;3;6;no
Femenino;Negocios;no;166.4;10.7;4;4;no
Femenino;Otros;no;249.6;7.6;3;3;no
Masculino;Otros;no;178.6;10.9;1;5;no
Masculino;Educación;no;139;15.7;2;5;no
Femenino;Otros;no;134.3;12.6;2;5;no
Femenino;Otros;no;215.9;4.9;3;5;no
Masculino;Otros;no;181.6;11.4;1;4;no
Femenino;Proyectos personales;no;178.4;9.3;1;9;no
Femenino;Otros;no;106.4;11.4;1;3;no
Masculino;Educación;no;170.7;11.4;2;4;no
Masculino;Otros;no;184.5;12.3;0;6;no
Femenino;Educación;no;161.2;8.9;1;4;no
Femenino;Proyectos personales;no;84.9;7.5;2;5;no
Femenino;Negocios;no;217.9;10.6;1;2;no
Femenino;Otros;no;270.9;8.8;0;5;si
Femenino;Proyectos personales;no;243;15.3;0;6;si
Masculino;Otros;no;128.2;8.9;0;3;no
Masculino;Otros;no;126.3;9.8;2;7;no
Masculino;Proyectos personales;no;178.7;10.6;4;2;no
Femenino;Negocios;no;159;10.1;0;4;no
Femenino;Negocios;no;150.9;11.7;3;5;no
Femenino;Proyectos personales;si;219.9;8.1;3;4;no
Masculino;Proyectos personales;no;168;10.1;2;3;no
Masculino;Proyectos personales;no;162.1;9.6;4;3;si
Femenino;Negocios;no;198.8;16.5;5;7;no
Femenino;Negocios;si;256.8;9.1;3;10;no
Masculino;Negocios;no;182.8;11;1;2;no
Femenino;Negocios;no;196.8;7.7;1;2;no
Femenino;Proyectos personales;no;140.1;11.2;2;5;no
Femenino;Otros;no;194.3;9;5;3;no
Femenino;Proyectos personales;no;117.6;8.8;1;5;no
Femenino;Otros;si;193.7;11.6;0;8;no
Masculino;Negocios;no;243.1;7.8;2;4;no
Femenino;Negocios;no;145.4;5.2;1;4;no
Femenino;Otros;no;169.1;9.9;3;10;no
Femenino;Proyectos personales;no;229.3;8.8;2;3;no
Masculino;Educación;si;197.2;8.3;4;4;no
Femenino;Otros;no;186.4;11.1;2;3;si
Femenino;Educación;no;76.1;10.8;0;3;no
Femenino;Educación;no;162.8;6;2;3;no
Femenino;Otros;no;182.3;18;1;5;no
Femenino;Educación;si;194.4;11.2;2;7;no
Masculino;Educación;no;189.3;12.5;2;4;no
Femenino;Proyectos personales;no;160.1;9.5;3;4;no
Femenino;Proyectos personales;no;145;7.1;3;4;no
Femenino;Educación;no;220.7;11.5;4;7;no
Masculino;Proyectos personales;no;224.7;7.5;1;5;si
Femenino;Proyectos personales;no;147;10.5;1;4;no
Femenino;Proyectos personales;no;260.8;10.1;1;5;no
Femenino;Negocios;no;155.4;9;0;3;no
Femenino;Educación;no;166.2;5.4;1;7;no
Femenino;Otros;no;211.8;10.8;0;7;no
Femenino;Otros;no;130.5;11;4;5;si
Femenino;Otros;no;162.7;8.7;0;6;no
Femenino;Negocios;si;237.1;7.9;1;3;no
Masculino;Negocios;no;166.2;13.2;4;2;no
Femenino;Proyectos personales;no;121.7;8.3;6;2;si
Masculino;Educación;no;176.4;11.2;0;2;no
Masculino;Negocios;no;67.4;11.4;2;2;no
Femenino;Negocios;no;229.7;9.6;1;1;si
Femenino;Negocios;no;176;14.7;1;7;no
Femenino;Negocios;no;247.7;9.6;0;7;si
Masculino;Educación;no;115.4;13.1;2;5;no
Femenino;Negocios;no;112.2;13.9;0;1;si
Femenino;Otros;no;162.6;11.5;0;4;no
Femenino;Otros;no;229.4;10.4;4;6;no
Masculino;Negocios;no;139.6;15;2;4;no
Masculino;Proyectos personales;no;263.8;8.4;5;2;si
Femenino;Otros;no;217.5;9;4;3;no
Femenino;Negocios;no;114.3;7.5;1;8;no
Femenino;Otros;no;196.3;7.7;2;3;no
Masculino;Otros;no;253.2;4.4;1;4;no
Femenino;Proyectos personales;no;98;10.5;0;4;no
Masculino;Negocios;no;249.4;9.1;0;3;no
Femenino;Proyectos personales;no;129.6;14.5;1;5;no
Masculino;Negocios;no;221.3;9.3;0;7;no
Masculino;Proyectos personales;no;220.7;12.4;1;9;no
Femenino;Educación;no;87.6;9.2;1;5;no
Femenino;Negocios;no;203.6;8.4;0;3;no
Femenino;Otros;no;213.6;8.8;2;3;no
Masculino;Educación;no;181.6;12.9;2;4;no
Masculino;Educación;no;215.4;7.8;1;6;no
Femenino;Negocios;no;266.3;14;2;2;si
Masculino;Proyectos personales;no;199.2;10.2;3;2;no
Femenino;Negocios;no;115;7.3;3;4;no
Masculino;Negocios;no;270.5;9.6;1;5;si
Femenino;Negocios;no;222.2;12.9;1;4;no
Masculino;Educación;no;61.9;8.8;3;2;no
Masculino;Negocios;no;141.1;10.8;2;2;no
Femenino;Negocios;no;189.2;10.6;3;5;si
Masculino;Otros;no;196;9.8;3;1;no
Masculino;Negocios;no;171.6;13.8;0;4;no
Masculino;Educación;si;174;11.4;2;3;no
Femenino;Otros;no;78.6;7.4;1;5;si
Masculino;Proyectos personales;no;200.9;8.9;1;7;no
Masculino;Proyectos personales;no;141.3;6.4;1;2;no
Masculino;Negocios;no;235.8;7.3;2;1;no
Masculino;Negocios;no;185.1;6.3;3;4;no
Femenino;Otros;no;254.3;11.8;2;2;no
Masculino;Otros;no;183;8.7;2;6;no
Masculino;Proyectos personales;no;163.5;7.5;2;5;no
Masculino;Educación;no;207.9;7.7;2;2;no
Masculino;Negocios;no;248.6;6.1;3;3;no
Femenino;Educación;no;185.4;14.5;2;4;no
Masculino;Otros;no;197.8;8.9;1;5;no
Femenino;Educación;si;132.1;9.1;2;1;si
Femenino;Proyectos personales;no;197.1;9.3;0;11;no
Masculino;Otros;no;154.6;12.6;2;5;no
Masculino;Otros;no;153.1;10;6;1;si
Femenino;Otros;no;211.2;6.3;2;9;no
Masculino;Educación;no;96.8;10.9;2;5;si
Masculino;Proyectos personales;no;172;10.1;1;9;no
Masculino;Negocios;no;141.1;8;2;7;no
Femenino;Educación;no;151.1;13.8;2;2;no
Femenino;Educación;no;209.6;7.6;3;2;no
Masculino;Otros;no;247;10.5;3;4;no
Masculino;Proyectos personales;no;221.4;10.8;1;12;no
Femenino;Educación;no;321.3;8;1;4;si
Masculino;Negocios;no;243.7;11.3;0;2;no
Femenino;Otros;no;251.5;11.1;3;6;no
Masculino;Otros;si;236.9;7.3;0;2;si
Femenino;Educación;no;159.7;9.3;2;3;no
Masculino;Proyectos personales;si;148.2;9.2;4;1;si
Masculino;Educación;no;150.9;14.7;1;1;no
Femenino;Educación;no;210.5;11.5;1;2;no
Masculino;Educación;no;170.9;4.1;2;5;no
Masculino;Proyectos personales;no;254.7;10.6;0;8;no
Masculino;Proyectos personales;no;284.4;8.4;0;8;si
Masculino;Proyectos personales;no;0;6.8;4;1;si
Femenino;Proyectos personales;si;133.7;10.7;1;2;si
Masculino;Educación;no;224.9;10.3;0;3;no
Femenino;Educación;no;151.8;11.9;1;5;no
Femenino;Educación;no;141.4;5.6;2;3;no
Masculino;Proyectos personales;no;285.7;14.8;0;7;si
Femenino;Educación;no;58.4;11.9;1;5;no
Femenino;Proyectos personales;no;90.4;13.1;0;4;no
Masculino;Proyectos personales;no;114.4;11;0;3;no
Masculino;Proyectos personales;no;147.7;12.8;2;3;no
Femenino;Proyectos personales;no;302.7;13.6;3;14;no
Masculino;Proyectos personales;no;136.1;11.3;1;4;no
Femenino;Otros;no;169.7;12.8;3;6;no
Masculino;Negocios;no;227.2;14.9;0;2;no
Masculino;Negocios;no;217.8;10.3;1;6;si
Femenino;Negocios;no;124.2;13.1;2;8;no
Masculino;Educación;no;206.2;13.6;1;2;no
Femenino;Educación;no;132.9;9.9;3;2;no
Femenino;Otros;no;104.9;7.7;3;6;no
Masculino;Educación;no;245;13.7;1;8;si
Femenino;Educación;no;184.5;11.6;1;3;no
Masculino;Proyectos personales;no;89.5;12.3;3;1;no
Masculino;Otros;si;235.6;8.6;1;4;no
Femenino;Negocios;no;186;11.5;4;6;no
Masculino;Proyectos personales;no;223.9;7.3;1;9;no
Masculino;Otros;no;179.5;6.6;1;2;no
Masculino;Educación;no;169.4;8.9;1;5;no
Femenino;Negocios;no;118.1;8.2;1;6;no
Femenino;Negocios;no;112;4.1;4;4;si
Femenino;Proyectos personales;no;168.4;8.5;0;7;no
Femenino;Otros;no;214.3;11.3;0;10;no
Femenino;Proyectos personales;no;245.7;4.2;4;5;si
Masculino;Negocios;no;156.6;13.4;1;10;no
Masculino;Negocios;si;142.8;8.9;1;4;no
Femenino;Educación;no;202.4;10.2;3;2;no
Masculino;Proyectos personales;no;116.8;12;1;2;no
Femenino;Otros;no;155.7;11;1;1;no
Masculino;Educación;no;236.1;9.1;2;4;no
Femenino;Otros;no;138.1;8.2;2;2;no
Masculino;Negocios;no;51.9;10.1;3;3;no
Femenino;Negocios;no;81.3;8.9;0;3;no
Femenino;Otros;no;171.5;7.1;0;3;no
Femenino;Educación;no;126;7.6;1;3;no
Femenino;Proyectos personales;si;197.2;9.9;4;6;no
Femenino;Proyectos personales;no;194.1;15.3;1;4;no
Femenino;Proyectos personales;no;115.7;9.3;1;6;no
Masculino;Proyectos personales;no;157.2;8.4;3;5;no
Masculino;Negocios;no;269.7;4.5;3;15;si
Femenino;Educación;no;246.4;9.1;0;8;no
Masculino;Negocios;no;227.4;13;1;4;no
Femenino;Negocios;no;189.8;12.2;0;4;no
Masculino;Otros;si;188.9;11.5;4;5;no
Femenino;Educación;no;0;7.2;1;4;no
Femenino;Otros;no;110.5;11;1;4;no
Femenino;Proyectos personales;no;167.6;11.7;4;2;no
Femenino;Educación;no;132;0;3;0;no
Masculino;Proyectos personales;no;167.8;11.9;0;4;no
Femenino;Educación;no;213.4;5.7;1;4;no
Masculino;Educación;no;175.4;10.6;0;1;no
Femenino;Educación;no;82.6;9.5;3;1;no
Femenino;Proyectos personales;no;143.2;8.8;4;7;si
Masculino;Proyectos personales;no;125.5;8.9;1;8;no
Masculino;Proyectos personales;no;82.3;11.8;6;2;si
Femenino;Proyectos personales;no;165.6;11.8;1;3;no
Masculino;Negocios;no;183.1;8.4;0;2;no
Masculino;Otros;no;162.1;12.2;1;5;no
Femenino;Negocios;no;166.6;7.7;1;6;no
Femenino;Educación;no;135.9;9.4;1;4;no
Masculino;Educación;no;165.7;9.8;0;6;no
Femenino;Proyectos personales;no;176.1;9.7;1;4;no
Masculino;Negocios;no;142.3;9.1;0;1;no
Femenino;Educación;no;177.6;7.6;3;3;no
Femenino;Educación;no;83.2;10.7;1;7;no
Masculino;Educación;si;235;5.7;2;7;no
Femenino;Educación;no;105.7;6.6;2;12;no
Femenino;Otros;si;149.4;17.9;3;3;si
Masculino;Proyectos personales;no;264.7;10.4;0;7;no
Femenino;Otros;no;160.3;5.6;1;1;no
Masculino;Otros;si;95.9;10.4;1;3;no
Masculino;Otros;no;140.7;11.7;0;5;no
Femenino;Negocios;no;119.7;4.6;2;2;no
Femenino;Proyectos personales;no;99.9;9.8;2;7;no
Masculino;Proyectos personales;no;250.9;9.6;2;6;no
Masculino;Proyectos personales;si;200.6;11.2;2;5;no
Femenino;Proyectos personales;no;209.8;7;1;7;no
Femenino;Proyectos personales;no;198;7.6;1;4;no
Masculino;Otros;no;239.8;11.3;1;5;no
Femenino;Proyectos personales;no;164.5;11.2;0;2;no
Masculino;Proyectos personales;no;220.9;12.2;1;2;no
Masculino;Otros;no;112.8;13.2;2;6;no
Masculino;Educación;si;112.6;11.1;0;2;si
Femenino;Negocios;no;226.4;10.8;1;7;no
Masculino;Otros;si;244.9;9.7;4;6;no
Femenino;Negocios;no;203.2;15.1;2;6;no
Femenino;Educación;no;136.7;8.6;0;4;no
Masculino;Educación;no;152.6;5;1;10;no
Masculino;Otros;no;274.9;8.8;1;2;no
Masculino;Proyectos personales;no;195.7;8.3;1;3;si
Masculino;Proyectos personales;si;204.3;9.2;1;7;no
Femenino;Otros;no;222.3;8.9;3;4;no
Masculino;Proyectos personales;no;222.5;9.7;1;2;no
Masculino;Proyectos personales;no;128.8;10.3;2;2;no
Femenino;Proyectos personales;no;174.3;8.3;0;2;no
Femenino;Negocios;no;242.5;7.8;4;3;no
Masculino;Proyectos personales;no;221.6;12.7;4;6;no
Masculino;Negocios;no;114.3;10.9;0;9;no
Masculino;Otros;no;219.7;9.5;2;2;no
Femenino;Negocios;no;144.9;12.3;2;3;no
Femenino;Educación;no;236.5;8.1;2;3;no
Femenino;Negocios;no;174;14.1;2;7;si
Masculino;Educación;no;109.5;6.6;1;7;no
Masculino;Otros;no;81.6;9.9;1;4;no
Femenino;Proyectos personales;no;133.4;5.9;1;4;no
Femenino;Proyectos personales;no;137.1;8.6;1;4;no
Femenino;Educación;no;197;16.1;0;8;no
Masculino;Proyectos personales;no;198.1;9.3;3;3;no
Masculino;Negocios;no;39.5;10;0;6;no
Masculino;Educación;no;199.5;8.1;2;4;no
Masculino;Otros;no;156.8;7.6;1;6;no
Femenino;Otros;no;183.4;9;3;5;no
Masculino;Negocios;no;132.4;8.6;1;2;no
Masculino;Otros;no;63.2;5.1;0;3;no
Masculino;Educación;si;181.1;16.9;0;4;si
Femenino;Otros;no;117.5;4.2;3;7;no
Femenino;Negocios;no;218.7;15;0;1;no
Femenino;Proyectos personales;no;207.3;5.9;1;3;no
Femenino;Otros;no;150.6;8.1;0;5;no
Femenino;Negocios;si;273.3;12;1;7;si
Masculino;Otros;si;266.1;10.3;1;4;no
Masculino;Educación;no;112.8;16.3;0;6;no
Femenino;Proyectos personales;no;104.7;15.8;3;7;no
Femenino;Otros;no;193.8;5.9;0;4;no
Femenino;Negocios;no;168.6;9.8;1;5;no
Masculino;Otros;no;253.2;9.7;2;7;no
Masculino;Proyectos personales;no;174.7;8.9;1;2;no
Masculino;Negocios;no;87;11;0;5;no
Femenino;Negocios;no;204.5;14.8;2;9;no
Femenino;Proyectos personales;no;226.5;9.4;3;4;no
Femenino;Proyectos personales;si;234.1;10;1;3;no
Masculino;Educación;si;133.3;12.9;3;2;si
Femenino;Negocios;no;133.9;15.4;1;3;no
Masculino;Negocios;no;160.2;9.7;0;2;no
Masculino;Negocios;no;230.6;11.1;0;2;no
Femenino;Otros;no;227.4;6.3;2;4;no
Masculino;Otros;no;72.8;11.8;2;2;no
Femenino;Negocios;no;196.1;7;1;2;no
Masculino;Otros;no;197.1;12.8;1;3;no
Femenino;Proyectos personales;no;219.6;9.7;1;5;no
Femenino;Otros;no;153.4;12.8;4;4;si
Masculino;Proyectos personales;no;216;4.9;2;10;no
Masculino;Otros;no;222.9;10.8;0;4;no
Masculino;Negocios;no;115.9;11.7;3;6;no
Femenino;Negocios;no;189.8;10.6;1;5;no
Masculino;Negocios;no;154.7;11.1;0;3;no
Femenino;Otros;no;136.4;11.5;3;1;no
Femenino;Otros;no;170.5;12.2;1;6;no
Femenino;Educación;no;272.4;12.7;0;2;no
Masculino;Otros;no;210;5.9;8;4;no
Masculino;Otros;si;236.5;12.2;2;3;no
Masculino;Negocios;no;153.9;8.5;2;3;no
Masculino;Otros;no;223;8.8;1;5;no
Masculino;Negocios;no;252.4;10.7;2;3;no
Femenino;Otros;no;197.9;12;1;6;no
Femenino;Negocios;no;152.4;6.6;3;5;no
Femenino;Educación;no;237.4;9.2;3;3;no
Masculino;Otros;no;265.6;8.6;1;2;no
Femenino;Educación;no;197.3;6.7;1;6;no
Femenino;Negocios;no;199.1;4.2;1;1;no
Femenino;Educación;no;233.7;12;2;2;no
Masculino;Negocios;no;183.1;7;1;3;no
Femenino;Otros;no;139.4;10;2;5;no
Masculino;Otros;no;213.9;8.4;1;3;si
Femenino;Negocios;no;207.1;12.4;1;2;no
Femenino;Otros;no;139.7;11.3;2;5;no
Masculino;Proyectos personales;no;177.2;8.9;2;3;no
Femenino;Otros;no;169.8;9.5;2;7;no
Masculino;Otros;no;173.5;9.7;3;2;no
Masculino;Proyectos personales;no;159.9;5.6;1;4;no
Masculino;Proyectos personales;no;115.1;11.4;2;3;no
Femenino;Negocios;no;136.8;12.5;2;3;no
Masculino;Educación;no;92.2;13.1;1;6;no
Masculino;Proyectos personales;no;243.9;13.4;2;11;no
Masculino;Otros;no;117.1;9;0;2;no
Femenino;Proyectos personales;no;223.3;4.5;0;4;si
Masculino;Educación;no;154.8;10.6;3;2;no
Femenino;Negocios;no;261.4;8;1;6;si
Femenino;Negocios;si;46.5;9.6;4;4;si
Masculino;Otros;no;149.9;11.5;0;7;si
Masculino;Negocios;si;242.2;13.9;2;5;si
Masculino;Negocios;no;259.4;10.7;1;6;si
Masculino;Negocios;no;222.4;12;2;8;no
Masculino;Educación;no;69.4;8.9;0;5;no
Femenino;Otros;si;156.5;11.1;4;3;si
Masculino;Educación;no;61.2;13.7;5;3;si
Femenino;Otros;si;245.2;10.7;0;5;no
Masculino;Educación;no;102.3;15.7;3;10;no
Femenino;Otros;no;230.9;7.6;3;4;no
Femenino;Proyectos personales;si;227.4;11.9;0;3;no
Femenino;Otros;no;192.8;12.7;1;6;no
Masculino;Proyectos personales;no;162.6;8.2;1;2;no
Masculino;Proyectos personales;no;219.4;11;2;1;no
Femenino;Proyectos personales;no;137.2;14.3;1;4;no
Femenino;Educación;no;87.7;10.5;1;10;no
Femenino;Otros;no;271.1;10.3;1;5;no
Masculino;Otros;no;103.4;14.4;1;3;no
Masculino;Proyectos personales;no;52.2;11.4;2;2;no
Femenino;Otros;no;165.4;8.7;0;3;si
Masculino;Proyectos personales;no;147.5;16.4;2;3;no
Femenino;Educación;no;217.8;11.3;0;7;no
Masculino;Negocios;no;235.7;13.3;1;10;no
Femenino;Otros;no;204.5;8.6;2;5;no
Femenino;Educación;no;178.4;9.6;0;2;no
Masculino;Negocios;no;130.1;13.5;2;5;no
Masculino;Otros;no;103.7;14.8;2;4;no
Femenino;Negocios;no;239.9;5.9;2;3;no
Masculino;Educación;no;148.4;8.9;0;4;no
Femenino;Otros;no;148.6;10;2;2;no
Masculino;Proyectos personales;no;191.1;12.9;0;1;no
Femenino;Educación;no;218.5;7.3;1;4;no
Masculino;Otros;no;97.5;0;1;0;no
Femenino;Otros;no;128.7;10.8;0;5;no
Femenino;Educación;no;236.6;9.5;2;10;no
Femenino;Otros;no;85.9;15.6;0;16;no
Masculino;Proyectos personales;no;141.2;11.4;1;2;no
Masculino;Otros;no;194.4;11.5;0;3;no
Femenino;Otros;no;167.6;17.3;2;3;no
Masculino;Proyectos personales;no;234.5;6.1;1;4;no
Masculino;Educación;no;154.2;10.1;1;9;no
Masculino;Educación;no;143.2;11.6;1;1;no
Masculino;Proyectos personales;si;216.4;12.7;1;4;no
Masculino;Otros;no;161.9;8.5;1;2;no
Masculino;Otros;no;118.7;10.4;3;6;no
Masculino;Educación;no;179.1;10.2;1;10;no
Femenino;Proyectos personales;no;147.9;8.8;2;5;no
Femenino;Negocios;no;209.2;16.5;2;4;no
Masculino;Proyectos personales;no;244.3;10.6;0;6;no
Femenino;Otros;no;175.3;5.6;1;11;no
Masculino;Otros;no;150.5;9;1;2;no
Femenino;Educación;no;197.4;13.2;0;2;no
Masculino;Proyectos personales;no;163.5;12.6;1;5;no
Masculino;Proyectos personales;no;236.9;11.4;2;7;si
Femenino;Negocios;no;82.3;7.2;1;4;no
Femenino;Otros;no;216;12.7;1;4;no
Femenino;Otros;si;180;12.4;1;3;no
Masculino;Proyectos personales;no;143.7;5.8;1;6;no
Masculino;Proyectos personales;no;198.2;11.3;1;7;no
Masculino;Educación;no;185.6;11.1;2;5;no
Masculino;Negocios;no;137.6;5.8;3;10;no
Masculino;Negocios;si;273.9;10.9;1;7;si
Masculino;Otros;no;125.3;6.3;3;2;no
Masculino;Otros;no;178.8;8.6;3;4;no
Masculino;Negocios;no;214.9;8.2;0;5;no
Femenino;Negocios;no;163;15.1;2;4;no
Femenino;Negocios;no;163.8;8.8;2;2;no
Masculino;Educación;no;189.5;13.4;1;3;no
Masculino;Negocios;no;155.2;4.5;0;4;no
Masculino;Otros;si;242.3;11.3;0;3;si
Masculino;Educación;si;254.1;8.7;3;4;no
Femenino;Educación;no;112;11.3;2;4;no
Femenino;Proyectos personales;no;115.5;13.3;3;5;no
Femenino;Otros;no;137.1;11.1;1;4;no
Masculino;Educación;no;198.4;10.1;0;3;no
Femenino;Otros;no;132.7;12.9;3;7;no
Masculino;Negocios;no;219.6;13.8;2;8;no
Masculino;Otros;no;169.6;11.2;0;4;no
Femenino;Negocios;si;160.4;12.6;4;5;no
Femenino;Otros;no;95;11.2;0;2;no
Masculino;Otros;no;160.1;7;2;1;no
Femenino;Educación;no;194.6;3.8;3;2;no
Femenino;Educación;no;236.4;13.8;1;4;si
Femenino;Proyectos personales;no;157.1;7.6;2;3;no
Masculino;Proyectos personales;no;179.8;10.9;0;4;no
Femenino;Proyectos personales;si;148.2;11;0;4;no
Femenino;Negocios;no;183.2;11.9;1;6;no
